qacc	Freq	Species
ASV528	90	Rhodobacter_sphaeroides
ASV529	337	Cronobacter_sakazakii
ASV530	468	Staphylococcus_aureus
ASV531	62	Salinispora_arenicola
ASV532	541	Bacillus_licheniformis
ASV533	863	Bacillus_licheniformis
ASV534	854	Bacillus_licheniformis
ASV535	440	Salmonella_enterica
ASV536	750	Salmonella_enterica
ASV537	700	Cronobacter_sakazakii
ASV538	218	Acetobacter_pasteurianus
ASV539	843	Klebsiella_pneumoniae
ASV540	124	Xanthomonas_campestris
ASV541	153	Riemerella_anatipestifer
ASV542	811	Leuconostoc_mesenteroides
ASV543	708	Klebsiella_pneumoniae
ASV544	97	Kocuria_rosea
ASV545	186	Cronobacter_sakazakii
ASV546	616	Lactobacillus_plantarum
ASV547	268	Weissella_cibaria
ASV548	910	Lactobacillus_plantarum
ASV549	570	Lactobacillus_plantarum
ASV550	758	Lactobacillus_plantarum
ASV551	908	Lactobacillus_plantarum
ASV552	350	Achromobacter_xylosoxidans
ASV553	338	Porphyromonas_levii
ASV554	103	Kocuria_rosea
ASV555	595	Bacillus_licheniformis
ASV556	656	Pseudomonas_putida
ASV557	810	Leuconostoc_mesenteroides
ASV558	345	Pantoea_agglomerans
ASV559	206	Acetobacter_pasteurianus
ASV560	166	Citrobacter_freundii
ASV561	176	Curtobacterium_flaccumfaciens
ASV562	597	Listeria_monocytogenes
ASV563	139	Kocuria_rosea
ASV564	211	Klebsiella_pneumoniae
ASV565	270	Weissella_cibaria
ASV566	81	Sphingobium_yanoikuyae
ASV567	207	Acetobacter_pasteurianus
ASV568	788	Klebsiella_pneumoniae
ASV569	257	Rhizobium_radiobacter
ASV570	51	Sphingobacterium_multivorum
ASV571	386	Lysinibacillus_sphaericus
ASV572	236	Bacillus_firmus
ASV573	538	Rhizobium_radiobacter
ASV574	908	Lactobacillus_plantarum
ASV575	319	Lactobacillus_paracasei
ASV576	79	Sphingobium_yanoikuyae
ASV577	886	Lactobacillus_plantarum
ASV578	116	Bacillus_circulans
ASV579	159	Riemerella_anatipestifer
ASV580	823	Bacillus_licheniformis
ASV581	110	Capnocytophaga_canimorsus
ASV582	151	Curtobacterium_flaccumfaciens
ASV583	277	Citrobacter_freundii
ASV584	145	Riemerella_anatipestifer
ASV585	139	Curtobacterium_flaccumfaciens
ASV586	591	Staphylococcus_aureus
ASV587	509	Staphylococcus_aureus
ASV588	437	Lactobacillus_brevis
ASV589	238	Acetobacter_pasteurianus
ASV590	346	Enterococcus_faecium
ASV591	125	Pantoea_ananatis
ASV592	166	Acetobacter_pasteurianus
ASV593	81	Sphingobium_yanoikuyae
ASV594	238	Klebsiella_pneumoniae
ASV595	362	Lactobacillus_casei
ASV596	878	Lactobacillus_plantarum
ASV597	873	Lactobacillus_plantarum
ASV598	67	Elizabethkingia_meningoseptica
ASV599	845	Bacillus_licheniformis
ASV600	80	Sphingobium_yanoikuyae
ASV601	109	Clostridium_beijerinckii
ASV602	753	Bacillus_licheniformis
ASV603	434	Cronobacter_sakazakii
ASV604	741	Bacillus_licheniformis
ASV605	568	Acinetobacter_calcoaceticus
ASV606	330	Pantoea_agglomerans
ASV607	860	Lactobacillus_plantarum
ASV608	907	Lactobacillus_plantarum
ASV609	623	Acinetobacter_baumannii
ASV610	907	Lactobacillus_plantarum
ASV611	159	Flavobacterium_columnare
ASV612	126	Corynebacterium_pseudotuberculosis
ASV613	130	Corynebacterium_pseudotuberculosis
ASV614	787	Klebsiella_pneumoniae
ASV615	205	Acetobacter_pasteurianus
ASV616	903	Lactobacillus_plantarum
ASV617	878	Lactobacillus_plantarum
ASV618	218	Acetobacter_pasteurianus
ASV619	206	Acetobacter_pasteurianus
ASV620	212	Enterococcus_faecium
ASV621	130	Corynebacterium_pseudotuberculosis
ASV622	130	Corynebacterium_pseudotuberculosis
ASV623	143	Variovorax_paradoxus
ASV624	238	Bacillus_firmus
ASV625	291	Enterococcus_faecium
ASV626	909	Lactobacillus_plantarum
ASV627	495	Lactobacillus_brevis
ASV628	774	Lactobacillus_helveticus
ASV629	412	Lactobacillus_brevis
ASV630	904	Lactobacillus_plantarum
ASV631	776	Lactobacillus_plantarum
ASV632	225	Bacillus_firmus
ASV633	320	Lactobacillus_plantarum
ASV634	886	Lactobacillus_plantarum
ASV635	407	Bacillus_licheniformis
ASV636	454	Lactobacillus_brevis
ASV637	412	Ensifer_meliloti
ASV638	41	Phyllobacterium_myrsinacearum
ASV639	185	Mycobacterium_tuberculosis
ASV640	811	Leuconostoc_mesenteroides
ASV641	238	Acetobacter_pasteurianus
ASV642	304	Klebsiella_pneumoniae
ASV643	679	Bacillus_licheniformis
ASV644	445	Salmonella_enterica
